_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso
1,7960,Calavera Izquierda tsuruIII,4,1,178.99,750,IZQ11-B586-C0-6B,Calavera de policarbonato sin foco,3,3,0,0,#aa0009,0,0,0,0,0
2,1320,Bomba  Agua Chevy,2,3,217.99,0,MANC0100,BOmba agua chevy marca Mizumo,5,6,0,0,#aa0009,0,0,0,0,0
3,11124,Balata Traseras Chevy Tambor,3,3,184.99,0,90421796EG,Balatas traseras Chevy Tambor Marca FP,5,6,0,0,#aa0009,1,0,0,0,0
4,10655,Filtro Gasolina Sentra,1,1,34.99,0,AGNN0110,Filtro de gasolina metalico marca DIFORZA curvo,34,45,0,0,#aa0009,1,0,0,0,0
5,10617,Filtro Gasolina Clio,1,8,38.99,0,AGNN0300,Filtro de Gasolina Par aClio Marca Diforza,39,90,0,0,#aa0009,1,0,0,0,0
6,5783,Polea Loca Tensora Alternador Corsa,2,3,97.99,0,90571758-POLE,Polea Loca Corsa tensora alternador (solo polea) marca Bruck,16,71,0,0,#aa0009,1,0,0,0,0
7,4125,Filtro Aire Golf A2,1,2,42,0,FFVW205,Filtro de aire para Golf A2 de cartucho,52,57,0,0,#aa0009,1,0,0,0,0
8,540,Balatas Delanteras Atos,7,6,110,0,58115-02050,Balatas Atos delanteras anchas marca FP,70,37,0,0,#aa0009,1,12,8,6,0.85
9,1535,Bronce Atos 1a y 2a,2,6,62,0,43374-02000,Bronce para primera y segunda de atos marca Guepu,70,37,0,0,#aa0009,1,0,0,0,0
10,12988,Banda Tiempo Atos,2,6,96.99,0,bd-at-450,Banda de tiempo para Atos Todos los modelos marca Tetzun,70,37,0,0,#aa0009,1,0,0,0,0
11,1536,Bronce Atos 3a 4ta,2,6,78.99,0,43384-02000,Bronce para Atos Trercera y Cuarta Marca Gepu,70,37,0,0,#aa0009,1,0,0,0,0
12,1966,Calavera Atos Izquierda,4,6,382.99,0,b0180015b3,Calavera de Atos Modelos 05-08 Izquierda marca TYC,70,37,0,0,#aa0009,1,37,27.5,14.5,1.2
13,9663,Cremallera Atos,3,6,889.99,0,581R,Cramallera Estandar Atos Marca Safety,70,37,0,0,#aa0009,1,57,23,11,4.55
14,10617,Filtro Gasolina Partner,1,7,38.99,0,AGNN0300,Filtro Gasolina Partner,24,89,0,0,#aa0009,1,0,0,0,0
15,3809,Faro Atos Derecho,4,6,571.99,0,FFNK0121,Faro Atos Derecho modelos 05-09  Forcetec,70,37,0,0,#aa0009,1,0,0,0,0
16,3995,Filtro Aceite Atos,1,6,42.42,0,ACNN1300,Filtro de aceite para Atos (Alto) Marca Diforza,70,36,0,0,#aa0009,0,7,7,9,0.25
