_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso,id_proveedor
2000,9921,Sensor Detonacion Gol,5,2,241.99,0,030 905 377 c,Sensor Detonacion Gol Marca Bruck,51,56,0,0,#aa0009,1,0,0,0,0,0
2001,1809,Bulbo Sensor Temperatura Golf A2,5,2,43.99,0,025 906 041a,Bulbo Sensor Temperatura Golf A2 Original,52,57,0,0,#aa0009,1,4,4,6,0.1,0
2002,1809,Bulbo Sensor Temperatura Golf A3,5,2,43.99,0,025 906 041a,Bulbo Sensor Temperatura Golf A3 Original,68,65,0,0,#aa0009,1,4,4,6,0.1,0
2003,9012,Sensor Flujo Aire Golf A3 2.0L,5,2,734.99,0,vw9a3-sf410,Sensor Flujo Aire Golf A3 2.0L Marca Herta,68,65,0,0,#aa0009,1,0,0,0,0,0
2004,2069,Calavera Golf A4 Ambar Izquierda,4,2,757.24,0,FCNV0332,Calavera Golf A4 Ambar Izquierda Marca Forcetec,69,66,0,0,#aa0009,1,0,0,0,0,39
2005,2068,Calavera Golf A4 Ambar Derecha,4,2,662.99,0,FCNV0331,Calavera Golf A4 Ambar Derecha Marca Forcetec,69,66,0,0,#aa0009,1,0,0,0,0,39
2006,10021,Sonda LAMBDA Golf A4,5,2,543.23,0,06a 906 262 f,Sonda LAMBDA Golf A4 2 Litros 99-03 Despues del Catalizador Marca Euro España,69,66,0,0,#aa0009,1,0,0,0,0,0
2007,9921,Sensor Detonacion Golf A4,5,2,241.99,0,030 905 377 c,Sensor Detonacion Golf A4 Marca Bruck,69,66,0,0,#aa0009,1,0,0,0,0,0
2008,7433,Sensor Velocimetro Golf A3 Automatico,5,2,97.67,0,357 919 149,Sensor Velocimetro Golf A3 Automatico Marca Bruck,68,65,0,0,#aa0009,1,10,4,4,0.05,0
2009,7432,Sensor Velocimetro Golf A4 Estandar,5,2,138,0,191 919 149 e,Sensor Velocimetro Golf A4 Estandar Marca Voltmax,69,66,0,0,#aa0009,1,0,0,0,0,0
2010,7425,Sensor Picado Golf A3 2.0,5,2,169,0,054 905 377 g,Sensor Picado Golf A3 2.0 Marca Bruck,68,57,0,0,#aa0009,1,0,0,0,0,0
2011,7417,Sensor Flujo Aire Golf A4,5,2,691.99,0,06a 906 461 g,Sensor Flujo Aire Golf A4 Marca Herta,69,66,0,0,#aa0009,1,16,12.5,16,0.3,0
2012,7425,Sensor Picado Jetta A3 2.0,5,2,169,0,054 905 377 g,Sensor Picado Jetta A3 2.0 Marca Bruck,54,16,0,0,#aa0009,1,0,0,0,0,0
2013,7433,Sensor Velocimetro Jetta A3 Automatico,5,2,97.67,0,357 919 149,Sensor Velocimetro Jetta A3 Automatico Marca Bruck,54,16,0,0,#aa0009,1,10,4,4,0.05,0
2014,9012,Sensor Flujo Aire Jetta A3 2.0,5,2,734.99,0,vw9a3-sf410,Sensor Flujo Aire Jetta A3 2.0 Marca Herta,54,16,0,0,#aa0009,1,0,0,0,0,0
